#deg, sv
2, 5,
3, 5,
4, 6,
5, 6,
6, 6,
7, 6,
8, 6,
9, 6,
10, 6,
11, 6,
12, 6,
13, 6,
14, 6,
15, 6,
16, 6,
17, 6,
18, 6,
19, 6,
20, 6,
21, 6,
22, 6,
23, 6,
24, 6,
25, 6,
26, 6,
27, 6,
28, 6,
29, 6,
30, 6,
31, 6,
32, 6,
33, 6,
34, 6,
35, 6,
36, 6,
37, 6,
38, 6,
39, 6,
40, 6,
41, 6,
42, 6,
43, 6,
44, 6,
45, 6,
46, 6,
47, 6,
48, 6,
49, 6,
50, 6,
51, 6,
52, 6,
53, 6,
54, 6,
55, 6,
56, 4,
57, 4,
58, 4,
59, 4,
60, 4,
61, 4,
62, 4,
63, 4,
64, 4,
65, 4,
66, 4,
67, 4,
68, 4,
69, 4,
70, 4,
71, 4,
72, 4,
73, 4,
74, 4,
75, 4,
76, 4,
77, 4,
78, 4,
79, 4,
80, 4,
81, 3,
82, 3,
83, 3,
84, 3,
85, 3,
86, 3,
87, 3,
88, 3,
89, 3,
90, 3,
91, 3,
92, 3,
93, 3,
94, 3,
95, 3,
96, 3,
97, 3,
98, 3,
99, 3,
100, 3
101, 3
102, 3
103, 3
104, 3
105, 3
106, 3
107, 3
108, 3
109, 3
110, 3
111, 3
112, 3
113, 3
114, 3
115, 3
116, 3
117, 3
118, 3
119, 3
120, 3
121, 3
122, 3
123, 3
124, 3
125, 3
126, 3
127, 3
128, 2
129, 4
130, 2
131, 4
132, 2
133, 4
134, 2
135, 4
136, 2
137, 4
138, 2
139, 4
140, 2
141, 4
142, 2
143, 4
144, 2
145, 4
146, 2
147, 4
148, 2
149, 4
150, 2
151, 4
152, 2
153, 4
154, 2
155, 4
156, 2
157, 4
158, 2
159, 4
160, 2
161, 4
162, 2
163, 4
164, 2
165, 4
166, 2
167, 4
168, 2
169, 4
170, 2
171, 4
172, 2
173, 4
174, 2
175, 4
176, 2
177, 4
178, 2
179, 4
180, 2
181, 4
182, 2
183, 4
184, 2
185, 4
186, 2
187, 4
188, 2
189, 4
190, 2
191, 4
192, 2
193, 4
194, 2
195, 4
196, 2
197, 4
198, 2
199, 4
200, 2
201, 4
202, 2
203, 4
204, 2
205, 4
206, 2
207, 4
208, 2
209, 4
210, 2
211, 4
212, 2
213, 4
214, 2
215, 4
216, 2
217, 4
218, 2
219, 4
220, 2
221, 4
222, 2
223, 4
224, 2
225, 4
226, 2
227, 4
228, 2
229, 4
230, 2
231, 4
232, 2
233, 4
234, 2
235, 4
236, 2
237, 4
238, 2
239, 4
240, 2
241, 4
242, 2
243, 4
244, 2
245, 4
246, 2
247, 4
248, 2
249, 4
250, 2
251, 4
252, 2
253, 4
254, 2
255, 4
256, 2
257, 4
258, 2
259, 4
260, 2
261, 4
262, 2
263, 4
264, 2
265, 4
266, 2
267, 4
268, 2
269, 4
270, 2
271, 4
272, 2
273, 4
274, 2
275, 4
276, 2
277, 4
278, 2
279, 4
280, 2
281, 4
282, 2
283, 4
284, 2
285, 4
286, 2
287, 4
288, 2
289, 4
290, 2
291, 4
292, 2
293, 4
294, 2
295, 4
296, 2
297, 4
298, 2
299, 4
300, 2
301, 4
302, 2
303, 4
304, 2
305, 4
306, 2
307, 4
308, 2
309, 4
310, 2
311, 4
312, 2
313, 4
314, 2
315, 4
316, 2
317, 4
318, 2
319, 4
320, 2
321, 4
322, 2
323, 4
324, 2
325, 4
326, 2
327, 4
328, 2
329, 4
330, 2
331, 4
332, 2
333, 4
334, 2
335, 4
336, 2
337, 4
338, 2
339, 4
340, 2
341, 4
342, 2
343, 4
344, 2
345, 4
346, 2
347, 4
348, 2
349, 4
350, 2
351, 4
352, 2
353, 4
354, 2
355, 4
356, 2
357, 4
358, 2
359, 4
360, 2
361, 4
362, 2
363, 4
364, 2
365, 4
366, 2
367, 4
368, 2
369, 4
370, 2
371, 4
372, 2
373, 4
374, 2
375, 4
376, 2
377, 4
378, 2
379, 4
380, 2
381, 4
382, 2
383, 4
384, 2
385, 4
386, 2
387, 4
388, 2
389, 4
390, 2
391, 4
392, 2
393, 4
394, 2
395, 4
396, 2
397, 4
398, 2
399, 4
400, 2
401, 4
402, 2
403, 4
404, 2
405, 4
406, 2
407, 4
408, 2
409, 4
410, 2
411, 4
412, 2
413, 4
414, 2
415, 4
416, 2
417, 4
418, 2
419, 4
420, 2
421, 4
422, 2
423, 4
424, 2
425, 4
426, 2
427, 4
428, 2
429, 4
430, 2
431, 4
432, 2
433, 4
434, 2
435, 4
436, 2
437, 4
438, 2
439, 4
440, 2
441, 4
442, 0
443, 0
444, 0

